,City,Country,Date,Lat,Lng,Max Temp,Humidity %,Cloudiness %,Wind Speed (mph),Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Bonavista,CA,2020-02-21 01:11:12,48.65,-53.11,9.0,65,94,23.0,overcast clouds,0.0,0.0
1,Kavieng,PG,2020-02-21 01:11:13,-2.57,150.8,83.57,74,47,9.69,scattered clouds,0.0,0.0
2,Cape Town,ZA,2020-02-21 01:08:06,-33.93,18.42,66.0,88,0,16.11,clear sky,0.0,0.0
3,Mecca,SA,2020-02-21 01:10:15,21.43,39.83,60.39,46,0,2.95,clear sky,0.0,0.0
4,Ushuaia,AR,2020-02-21 01:11:13,-54.8,-68.3,51.8,66,75,6.04,broken clouds,0.0,0.0
5,Ribeira Grande,PT,2020-02-21 01:11:14,38.52,-28.7,52.65,71,50,8.88,scattered clouds,0.0,0.0
6,Kapaa,US,2020-02-21 01:08:28,22.08,-159.32,80.6,57,40,18.34,scattered clouds,0.0,0.0
7,Port-Cartier,CA,2020-02-21 01:11:14,50.03,-66.87,-5.8,48,5,9.17,clear sky,0.0,0.0
8,Dubki,RU,2020-02-21 01:11:14,43.02,46.84,39.2,86,90,6.71,overcast clouds,0.0,0.0
9,Malakal,SS,2020-02-21 01:11:14,9.53,31.66,77.92,16,25,11.32,scattered clouds,0.0,0.0
10,Punta Arenas,CL,2020-02-21 01:11:15,-53.15,-70.92,55.4,66,75,11.41,broken clouds,0.0,0.0
11,Carnarvon,AU,2020-02-21 01:11:04,-24.87,113.63,80.6,69,100,12.75,light rain,0.94,0.0
12,Sinnamary,GF,2020-02-21 01:11:15,5.38,-52.95,78.64,75,65,13.2,broken clouds,0.0,0.0
13,Mataura,NZ,2020-02-21 01:11:15,-46.19,168.86,63.0,75,68,24.0,light rain,0.56,0.0
14,Satipo,PE,2020-02-21 01:11:15,-11.25,-74.64,67.75,80,21,3.91,light rain,0.31,0.0
15,Zamora,EC,2020-02-21 01:11:16,-4.07,-78.96,59.94,95,54,2.42,moderate rain,3.44,0.0
16,Butaritari,KI,2020-02-21 01:11:16,3.07,172.79,83.82,78,98,13.15,light rain,0.31,0.0
17,Barrow,US,2020-02-21 01:10:50,71.29,-156.79,-13.0,75,40,9.17,mist,0.0,0.0
18,Nyurba,RU,2020-02-21 01:11:16,63.28,118.33,7.05,96,100,4.68,overcast clouds,0.0,0.0
19,Lavrentiya,RU,2020-02-21 01:11:16,65.58,-171.0,-11.74,83,0,8.12,clear sky,0.0,0.0
20,Grand Gaube,MU,2020-02-21 01:11:17,-20.01,57.66,78.8,74,40,11.41,scattered clouds,0.0,0.0
21,Hilo,US,2020-02-21 01:10:28,19.73,-155.09,77.0,53,90,6.93,overcast clouds,0.0,0.0
22,Hithadhoo,MV,2020-02-21 01:11:17,-0.6,73.08,83.23,77,24,10.0,few clouds,0.0,0.0
23,Quatre Cocos,MU,2020-02-21 01:11:18,-20.21,57.76,78.8,74,40,11.41,scattered clouds,0.0,0.0
24,Avarua,CK,2020-02-21 01:11:18,-21.21,-159.78,84.2,83,100,8.05,light rain,0.25,0.0
25,Rikitea,PF,2020-02-21 01:11:18,-23.12,-134.97,78.64,74,47,10.56,light rain,0.63,0.0
26,Puerto Ayora,EC,2020-02-21 01:11:18,-0.74,-90.35,80.6,78,40,5.82,scattered clouds,0.0,0.0
27,Camana,PE,2020-02-21 01:11:18,-16.62,-72.71,69.3,81,70,4.99,broken clouds,0.0,0.0
28,Saskylakh,RU,2020-02-21 01:11:19,71.92,114.08,-19.77,100,82,3.13,broken clouds,0.0,0.0
29,Yumen,CN,2020-02-21 01:11:19,40.28,97.2,17.83,61,62,4.29,broken clouds,0.0,0.0
30,Jamestown,US,2020-02-21 01:11:19,42.1,-79.24,21.99,78,90,6.93,light snow,0.0,0.0
31,Fort Nelson,CA,2020-02-21 01:11:19,58.81,-122.7,39.2,41,75,5.82,broken clouds,0.0,0.0
32,Kununurra,AU,2020-02-21 01:11:20,-15.77,128.73,87.8,62,100,9.17,overcast clouds,0.0,0.0
33,Bredasdorp,ZA,2020-02-21 01:11:20,-34.53,20.04,63.0,87,22,2.24,few clouds,0.0,0.0
34,Atar,MR,2020-02-21 01:11:20,20.52,-13.05,71.51,13,0,8.68,clear sky,0.0,0.0
35,Clyde River,CA,2020-02-21 01:11:20,70.47,-68.59,-9.4,76,90,16.11,overcast clouds,0.0,0.0
36,Apache Junction,US,2020-02-21 01:11:21,33.42,-111.55,78.8,19,1,4.7,clear sky,0.0,0.0
37,Vaini,TO,2020-02-21 01:11:21,-21.2,-175.2,82.4,74,20,11.41,few clouds,0.0,0.0
38,Smidovich,RU,2020-02-21 01:11:21,48.6,133.82,-3.68,87,0,4.18,clear sky,0.0,0.0
39,Tevriz,RU,2020-02-21 01:11:21,57.51,72.4,27.97,97,100,4.92,light snow,0.0,0.13
40,Cherskiy,RU,2020-02-21 01:11:22,68.75,161.3,-14.21,96,99,8.08,overcast clouds,0.0,0.0
41,Banda Aceh,ID,2020-02-21 01:11:22,5.56,95.32,72.41,86,26,5.7,scattered clouds,0.0,0.0
42,Anadyr,RU,2020-02-21 01:11:22,64.75,177.48,-14.01,75,20,8.95,mist,0.0,0.0
43,Albany,US,2020-02-21 01:11:22,42.6,-73.97,23.0,41,90,11.41,overcast clouds,0.0,0.0
44,Tuktoyaktuk,CA,2020-02-21 01:11:22,69.45,-133.04,-0.4,84,90,5.82,light snow,0.0,0.0
45,Busselton,AU,2020-02-21 01:11:22,-33.65,115.33,77.0,30,73,15.03,broken clouds,0.0,0.0
46,Ilulissat,GL,2020-02-21 01:11:23,69.22,-51.1,-5.8,53,4,4.7,clear sky,0.0,0.0
47,Margate,GB,2020-02-21 01:11:23,51.38,1.39,39.99,66,33,13.87,scattered clouds,0.0,0.0
48,Gilbues,BR,2020-02-21 01:11:23,-9.83,-45.34,69.31,81,74,3.44,broken clouds,0.0,0.0
49,East London,ZA,2020-02-21 01:11:23,-33.02,27.91,74.05,77,61,7.65,broken clouds,0.0,0.0
50,Tasiilaq,GL,2020-02-21 01:11:24,65.61,-37.64,21.2,67,100,6.93,light snow,0.0,0.0
51,Talara,PE,2020-02-21 01:11:24,-4.58,-81.27,76.66,87,0,3.24,clear sky,0.0,0.0
52,Upernavik,GL,2020-02-21 01:11:24,72.79,-56.15,-13.72,99,100,4.59,overcast clouds,0.0,0.0
53,Hobart,AU,2020-02-21 01:10:28,-42.88,147.33,62.01,41,75,16.11,light intensity shower rain,0.0,0.0
54,Lorengau,PG,2020-02-21 01:11:25,-2.02,147.27,83.41,75,70,10.07,light rain,0.13,0.0
55,Helong,CN,2020-02-21 01:11:25,42.54,129.0,24.98,82,100,6.15,overcast clouds,0.0,0.0
56,Tambopata,PE,2020-02-21 01:11:25,-12.73,-69.18,82.42,66,93,1.95,overcast clouds,0.0,0.0
57,Arlit,NE,2020-02-21 01:11:25,18.74,7.39,69.42,18,50,16.08,scattered clouds,0.0,0.0
58,Dedovichi,RU,2020-02-21 01:11:26,57.55,29.95,31.66,90,1,6.33,clear sky,0.0,0.0
59,Sharjah,AE,2020-02-21 01:11:26,25.36,55.4,73.4,46,52,11.41,broken clouds,0.0,0.0
60,Sandpoint,US,2020-02-21 01:11:26,48.28,-116.55,43.0,59,1,4.14,clear sky,0.0,0.0
61,Mangochi,MW,2020-02-21 01:11:26,-14.48,35.26,67.26,97,100,2.26,overcast clouds,0.0,0.0
62,Fairbanks,US,2020-02-21 01:11:26,64.84,-147.72,34.0,73,75,4.7,broken clouds,0.0,0.0
63,Djenne,ML,2020-02-21 01:07:08,13.91,-4.55,79.95,11,19,9.84,few clouds,0.0,0.0
64,Eregli,TR,2020-02-21 01:11:27,37.51,34.05,36.57,63,53,3.47,broken clouds,0.0,0.0
65,Bluff,NZ,2020-02-21 01:11:27,-46.6,168.33,63.0,75,60,24.0,light rain,0.13,0.0
66,Malanje,AO,2020-02-21 01:11:27,-9.54,16.34,65.5,94,73,0.13,broken clouds,0.0,0.0
67,Provideniya,RU,2020-02-21 01:11:28,64.38,-173.3,-4.0,70,0,2.24,clear sky,0.0,0.0
68,Puerto Quijarro,BO,2020-02-21 01:11:05,-17.78,-57.77,77.27,92,100,0.85,light rain,1.0,0.0
69,Isangel,VU,2020-02-21 01:11:28,-19.55,169.27,84.2,79,40,3.36,scattered clouds,0.0,0.0
70,Abha,SA,2020-02-21 01:11:28,18.22,42.51,59.0,87,90,5.82,overcast clouds,0.0,0.0
71,Riachao Das Neves,BR,2020-02-21 01:11:29,-11.75,-44.91,70.45,84,31,2.68,scattered clouds,0.0,0.0
72,Kautokeino,NO,2020-02-21 01:11:29,69.01,23.04,22.86,93,100,27.98,light snow,0.0,0.44
73,New Norfolk,AU,2020-02-21 01:11:29,-42.78,147.06,62.01,41,75,16.11,light intensity shower rain,0.0,0.0
74,Port Alfred,ZA,2020-02-21 01:11:29,-33.59,26.89,66.0,92,64,5.48,light rain,0.12,0.0
75,Karpogory,RU,2020-02-21 01:11:29,64.0,44.45,6.17,98,33,2.37,scattered clouds,0.0,0.0
76,Coquimbo,CL,2020-02-21 01:08:08,-29.95,-71.34,62.6,77,100,4.7,overcast clouds,0.0,0.0
77,Te Anau,NZ,2020-02-21 01:11:30,-45.42,167.72,57.42,85,93,8.84,light rain,0.31,0.0
78,Atuona,PF,2020-02-21 01:11:30,-9.8,-139.03,81.5,73,10,17.52,clear sky,0.0,0.0
79,High Level,CA,2020-02-21 01:11:30,58.52,-117.14,37.4,34,5,5.82,clear sky,0.0,0.0
80,Junnar,IN,2020-02-21 01:11:30,19.2,73.88,65.64,49,17,3.02,few clouds,0.0,0.0
81,Sorland,NO,2020-02-21 01:11:31,67.67,12.69,36.95,96,100,25.37,snow,0.0,3.69
82,Olafsvik,IS,2020-02-21 01:11:31,64.89,-23.71,29.73,78,100,38.25,overcast clouds,0.0,0.0
83,Longyearbyen,SJ,2020-02-21 01:11:31,78.22,15.64,5.0,65,75,5.82,broken clouds,0.0,0.0
84,Hermanus,ZA,2020-02-21 01:11:31,-34.42,19.23,63.0,93,0,4.0,clear sky,0.0,0.0
85,Saint-Philippe,RE,2020-02-21 01:11:31,-21.36,55.77,73.99,78,3,3.36,light rain,0.81,0.0
86,Hambantota,LK,2020-02-21 01:11:32,6.12,81.12,77.0,100,20,8.05,few clouds,0.0,0.0
87,Aklavik,CA,2020-02-21 01:11:32,68.22,-135.01,3.2,71,75,4.7,broken clouds,0.0,0.0
88,Manchester,GB,2020-02-21 01:10:18,53.48,-2.24,43.0,71,100,8.05,overcast clouds,0.0,0.0
89,Qaqortoq,GL,2020-02-21 01:11:32,60.72,-46.03,32.0,51,100,14.99,overcast clouds,0.0,0.0
90,Palmer,US,2020-02-21 01:11:33,42.16,-72.33,27.0,42,1,11.41,clear sky,0.0,0.0
91,Pangnirtung,CA,2020-02-21 01:11:33,66.15,-65.71,-35.72,97,100,1.83,overcast clouds,0.0,0.0
92,Adrar,MR,2020-02-21 01:11:33,20.5,-10.07,71.01,12,0,11.79,clear sky,0.0,0.0
93,Luderitz,NA,2020-02-21 01:11:33,-26.65,15.16,69.8,73,34,17.22,scattered clouds,0.0,0.0
94,Mahebourg,MU,2020-02-21 01:11:34,-20.41,57.7,78.8,74,40,11.41,scattered clouds,0.0,0.0
95,Khatanga,RU,2020-02-21 01:11:34,71.97,102.5,2.48,95,97,8.63,overcast clouds,0.0,0.0
96,Ishigaki,JP,2020-02-21 01:11:34,24.34,124.16,71.6,64,20,14.99,few clouds,0.0,0.0
97,Bukama,CD,2020-02-21 01:11:34,-9.2,25.85,69.58,90,95,1.23,overcast clouds,0.0,0.0
98,Saint George,US,2020-02-21 01:11:35,37.1,-113.58,62.01,14,1,5.95,clear sky,0.0,0.0
99,Bethel,US,2020-02-21 01:08:06,41.37,-73.41,33.8,46,90,9.17,overcast clouds,0.0,0.0
100,Nabire,ID,2020-02-21 01:11:35,-3.37,135.48,84.22,67,61,1.25,broken clouds,0.0,0.0
101,Qaanaaq,GL,2020-02-21 01:11:35,77.48,-69.36,-14.39,59,0,4.9,clear sky,0.0,0.0
102,Taywarah,AF,2020-02-21 01:11:35,33.35,64.42,24.93,35,99,4.32,overcast clouds,0.0,0.0
103,Shakawe,BW,2020-02-21 01:11:36,-18.37,21.85,69.6,76,84,4.43,broken clouds,0.0,0.0
104,Rosarito,MX,2020-02-21 01:11:36,32.33,-117.03,73.4,59,1,5.01,clear sky,0.0,0.0
105,Kutum,SD,2020-02-21 01:11:36,14.2,24.67,56.89,33,31,5.99,scattered clouds,0.0,0.0
106,La Palma,US,2020-02-21 01:11:36,33.85,-118.05,78.8,27,1,6.93,clear sky,0.0,0.0
107,Yellowknife,CA,2020-02-21 01:11:36,62.46,-114.35,32.0,80,20,14.99,few clouds,0.0,0.0
108,Huntsville,US,2020-02-21 01:11:37,34.73,-86.59,39.2,86,90,10.29,overcast clouds,0.0,0.0
109,Kruisfontein,ZA,2020-02-21 01:11:37,-34.0,24.73,62.01,95,53,2.19,broken clouds,0.0,0.0
110,Progreso,MX,2020-02-21 01:11:37,21.28,-89.67,84.2,58,40,9.17,scattered clouds,0.0,0.0
111,Beringovskiy,RU,2020-02-21 01:11:37,63.05,179.32,-12.44,85,17,8.01,few clouds,0.0,0.0
112,Bilma,NE,2020-02-21 01:11:37,18.69,12.92,63.32,23,10,8.43,clear sky,0.0,0.0
113,San Cristobal,VE,2020-02-21 01:09:59,7.77,-72.22,84.2,62,40,5.82,scattered clouds,0.0,0.0
114,Derzhavinsk,KZ,2020-02-21 01:11:38,51.1,66.32,9.27,85,89,2.24,overcast clouds,0.0,0.0
115,Popondetta,PG,2020-02-21 01:11:38,-8.75,148.25,81.21,76,100,3.51,light rain,0.25,0.0
116,Denison,US,2020-02-21 01:11:02,33.76,-96.54,42.01,69,1,10.29,clear sky,0.0,0.0
117,Port Lincoln,AU,2020-02-21 01:11:38,-34.73,135.87,62.69,65,100,13.65,overcast clouds,0.0,0.0
118,Georgetown,MY,2020-02-21 01:11:39,5.41,100.34,82.4,65,20,6.93,few clouds,0.0,0.0
119,Rio Grande,BR,2020-02-21 01:07:33,-32.03,-52.1,67.78,63,30,23.4,scattered clouds,0.0,0.0
120,Yulara,AU,2020-02-21 01:11:39,-25.24,130.99,84.2,18,13,17.22,few clouds,0.0,0.0
121,Fortuna,US,2020-02-21 01:11:39,40.6,-124.16,57.0,71,20,4.76,few clouds,0.0,0.0
122,Sao Filipe,CV,2020-02-21 01:11:39,14.9,-24.5,70.25,75,7,16.67,clear sky,0.0,0.0
123,Mawlaik,MM,2020-02-21 01:11:40,23.63,94.42,55.96,66,0,1.72,clear sky,0.0,0.0
124,Rosehearty,GB,2020-02-21 01:11:40,57.7,-2.11,39.2,75,64,14.99,broken clouds,0.0,0.0
125,Noumea,NC,2020-02-21 01:09:40,-22.28,166.46,91.4,49,0,11.41,clear sky,0.0,0.0
126,Bandundu,CD,2020-02-21 01:11:40,-3.32,17.37,75.24,83,72,1.59,light rain,1.06,0.0
127,Constitucion,CL,2020-02-21 01:11:40,-35.33,-72.42,57.2,56,0,3.02,clear sky,0.0,0.0
128,Salalah,OM,2020-02-21 01:11:41,17.02,54.09,77.0,69,75,6.93,broken clouds,0.0,0.0
129,Mar Del Plata,AR,2020-02-21 01:11:01,-38.0,-57.56,61.0,82,75,8.05,shower rain,0.0,0.0
130,Oktyabrskoye,RU,2020-02-21 01:11:41,43.06,44.74,31.69,87,100,0.98,overcast clouds,0.0,0.0
131,Cidreira,BR,2020-02-21 01:11:41,-30.18,-50.21,73.18,73,29,16.42,scattered clouds,0.0,0.0
132,Vila Velha,BR,2020-02-21 01:07:48,-20.33,-40.29,80.6,78,20,16.11,few clouds,0.0,0.0
133,Kavaratti,IN,2020-02-21 01:11:42,10.57,72.64,81.7,70,0,9.22,clear sky,0.0,0.0
134,Katsuura,JP,2020-02-21 01:11:42,35.13,140.3,53.01,61,20,9.17,few clouds,0.0,0.0
135,La Rioja,ES,2020-02-21 01:11:42,42.25,-2.5,39.2,93,7,6.93,clear sky,0.0,0.0
136,Sola,VU,2020-02-21 01:11:42,-13.88,167.55,89.6,66,40,5.82,scattered clouds,0.0,0.0
137,San Lawrenz,MT,2020-02-21 01:11:42,36.06,14.2,53.01,66,0,8.05,clear sky,0.0,0.0
138,Kasongo-Lunda,CD,2020-02-21 01:11:43,-6.47,16.82,70.5,89,74,1.7,broken clouds,0.0,0.0
139,Lompoc,US,2020-02-21 01:09:41,34.64,-120.46,71.6,24,1,5.82,clear sky,0.0,0.0
140,Nalut,LY,2020-02-21 01:11:43,30.33,10.85,48.7,56,0,11.48,clear sky,0.0,0.0
141,Zorritos,PE,2020-02-21 01:11:43,-3.68,-80.68,89.6,33,75,6.93,broken clouds,0.0,0.0
142,Thompson,CA,2020-02-21 01:11:43,55.74,-97.86,24.8,58,75,4.7,broken clouds,0.0,0.0
143,Cabo San Lucas,MX,2020-02-21 01:07:46,22.89,-109.91,78.8,39,5,9.17,clear sky,0.0,0.0
144,Nome,US,2020-02-21 01:11:44,64.5,-165.41,10.4,72,90,7.45,overcast clouds,0.0,0.0
145,Knoxville,US,2020-02-21 01:11:43,35.96,-83.92,37.4,81,90,4.7,light rain,0.0,0.0
146,Morondava,MG,2020-02-21 01:11:44,-20.28,44.28,76.14,93,99,3.33,light rain,0.81,0.0
147,Port Elizabeth,ZA,2020-02-21 01:11:44,-33.92,25.57,66.2,88,21,9.17,few clouds,0.0,0.0
148,Harper,LR,2020-02-21 01:11:45,4.38,-7.72,77.88,92,65,3.04,broken clouds,0.0,0.0
149,Sergeyevka,KZ,2020-02-21 01:11:45,53.88,67.42,17.51,95,100,7.94,light snow,0.0,0.25
150,Dikson,RU,2020-02-21 01:11:45,73.51,80.55,-3.62,90,72,15.97,broken clouds,0.0,0.0
151,Port Blair,IN,2020-02-21 01:07:19,11.67,92.75,78.8,83,20,8.05,mist,0.0,0.0
152,Palana,RU,2020-02-21 01:11:45,59.12,159.97,-7.62,82,32,2.68,scattered clouds,0.0,0.0
153,San Patricio,MX,2020-02-21 01:11:46,19.22,-104.7,84.2,74,20,11.41,few clouds,0.0,0.0
154,Mayo,US,2020-02-21 01:11:46,38.89,-76.51,37.4,44,90,4.7,overcast clouds,0.0,0.0
155,Sturgeon Bay,US,2020-02-21 01:11:46,44.83,-87.38,15.8,47,1,11.41,clear sky,0.0,0.0
156,Kaitangata,NZ,2020-02-21 01:11:46,-46.28,169.85,72.0,63,99,17.0,overcast clouds,0.0,0.0
157,Columbus,US,2020-02-21 01:07:09,39.96,-83.0,24.01,67,40,4.7,scattered clouds,0.0,0.0
158,Jinotega,NI,2020-02-21 01:11:47,13.09,-86.0,72.68,68,17,7.81,few clouds,0.0,0.0
159,Tororo,UG,2020-02-21 01:11:47,0.69,34.18,70.18,77,52,3.02,light rain,0.19,0.0
160,Vila Franca Do Campo,PT,2020-02-21 01:11:47,37.72,-25.43,50.0,76,20,5.82,few clouds,0.0,0.0
161,Gandai,IN,2020-02-21 01:11:47,21.67,81.1,64.96,33,1,3.29,clear sky,0.0,0.0
162,Castro,BR,2020-02-21 01:11:48,-24.79,-50.01,66.54,71,63,1.59,broken clouds,0.0,0.0
163,Balaipungut,ID,2020-02-21 01:11:48,1.05,101.28,74.19,93,89,2.01,overcast clouds,0.0,0.0
164,Hofn,IS,2020-02-21 01:11:48,64.25,-15.21,37.08,54,5,7.58,clear sky,0.0,0.0
165,Rapid Valley,US,2020-02-21 01:11:48,44.06,-103.15,35.01,42,1,3.36,clear sky,0.0,0.0
166,Pemangkat,ID,2020-02-21 01:11:49,1.17,108.97,77.11,89,100,9.93,overcast clouds,0.0,0.0
167,Biak,ID,2020-02-21 01:11:49,-0.91,122.88,81.93,71,92,4.94,light rain,0.94,0.0
168,Acapulco,MX,2020-02-21 01:11:49,16.86,-99.89,82.4,78,5,8.05,smoke,0.0,0.0
169,Cayenne,GF,2020-02-21 01:11:07,4.93,-52.33,75.2,83,82,5.06,light rain,0.19,0.0
170,Lebu,CL,2020-02-21 01:11:49,-37.62,-73.65,60.55,65,0,5.37,clear sky,0.0,0.0
171,Bull Savanna,JM,2020-02-21 01:11:50,17.89,-77.59,70.32,93,61,3.49,light rain,0.88,0.0
172,Comodoro Rivadavia,AR,2020-02-21 01:11:50,-45.87,-67.5,57.2,62,0,4.7,clear sky,0.0,0.0
173,Soe,ID,2020-02-21 01:11:50,-9.86,124.28,81.34,70,87,0.16,overcast clouds,0.0,0.0
174,Chalmette,US,2020-02-21 01:11:50,29.94,-89.96,50.0,87,90,21.92,light rain,0.0,0.0
175,Mbandaka,CD,2020-02-21 01:11:50,0.05,18.26,77.81,70,94,1.97,overcast clouds,0.0,0.0
176,Pevek,RU,2020-02-21 01:11:51,69.7,170.31,-7.55,97,100,10.83,light snow,0.0,0.38
177,Lagoa,PT,2020-02-21 01:11:51,39.05,-27.98,57.4,65,83,10.69,broken clouds,0.0,0.0
178,Tigil,RU,2020-02-21 01:11:51,57.8,158.67,-12.33,93,11,3.13,few clouds,0.0,0.0
179,Faanui,PF,2020-02-21 01:11:51,-16.48,-151.75,83.16,76,55,16.8,light rain,0.56,0.0
180,Kieta,PG,2020-02-21 01:11:51,-6.22,155.63,84.51,65,89,3.18,overcast clouds,0.0,0.0
